sampleid,x,y
272,863,1
273,575,1
274,123,1
275,848,1
276,182,1
277,1013,0
278,264,1
279,500,1
280,790,1
281,173,1
282,510,1
283,950,1
284,637,1
285,51,1
286,193,1
287,465,1
288,167,1
289,113,1
290,681,1
291,756,1
292,733,1
293,756,1
294,183,1
295,407,1
296,159,1
297,630,1
298,682,1
299,560,1
300,263,1
301,624,1
302,308,1
303,697,1
304,178,1
305,381,1
306,407,1
307,825,1
308,153,1
309,635,1
310,831,1
311,204,1
312,113,1
313,482,1
314,195,1
315,30,1
316,259,1
317,528,1
318,441,1
319,835,1
320,715,1
321,755,1
322,323,1
323,75,1
324,983,1
325,951,1
326,906,1
327,648,1
328,752,1
329,697,1
330,454,1
331,851,1
332,607,1
333,534,1
334,815,1
335,878,1
336,61,1
337,340,1
338,556,1
339,582,1
340,284,1
341,355,1
342,330,1
343,926,1
344,645,1
345,452,1
346,59,1
347,730,1
348,533,1
349,813,1
350,145,1
351,279,1
352,942,1
353,1001,0
354,675,1
355,57,1
356,162,1
357,907,1
358,578,1
359,588,1
360,685,1
361,641,1
362,76,1
363,112,1
364,623,1
365,548,1
366,537,1
367,234,1
368,172,1
369,666,1
370,133,1
371,379,1
372,734,1
373,582,1
374,528,1
375,503,1
376,146,1
377,790,1
378,717,1
379,110,1
380,456,1
381,342,1
382,981,1
383,722,1
384,193,1
385,1005,0
386,544,1
387,212,1
388,413,1
389,735,1
390,329,1
391,468,1
392,689,1
393,837,1
394,184,1
395,393,1
396,907,1
397,718,1
398,46,1
399,18,1
400,988,1
401,957,1
402,151,1
403,176,1
404,73,1
405,663,1
406,751,1
407,945,1
408,675,1
409,984,1
410,504,1
411,588,1
412,669,1
413,853,1
414,561,1
415,473,1
416,210,1
417,837,1
418,14,1
419,375,1
420,610,1
421,346,1
422,29,1
423,4,1
424,1020,0
425,304,1
426,422,1
427,791,1
428,927,1
429,142,1
430,106,1
431,615,1
432,604,1
433,102,1
434,692,1
435,570,1
436,856,1
437,929,1
438,124,1
439,68,1
440,548,1
441,909,1
442,717,1
443,96,1
444,742,1
445,740,1
446,206,1
447,483,1
448,759,1
449,127,1
450,739,1
451,644,1
452,5,1
453,392,1
454,984,1
455,370,1
456,164,1
457,602,1
458,385,1
459,443,1
460,311,1
461,511,1
462,100,1
463,906,1
464,919,1
465,125,1
466,657,1
467,259,1
468,422,1
469,307,1
470,443,1
471,466,1
472,104,1
473,188,1
474,216,1
475,181,1
476,193,1
477,81,1
478,480,1
479,185,1
480,647,1
481,663,1
482,726,1
483,14,1
484,806,1
485,328,1
486,671,1
487,811,1
488,653,1
489,760,1
490,222,1
491,78,1
492,352,1
493,749,1
494,1003,0
495,127,1
496,393,1
497,67,1
498,917,1
499,273,1
500,601,1
501,746,1
502,464,1
503,399,1
504,994,1
505,213,1
506,19,1
507,834,1
508,358,1
509,294,1
510,716,1
511,425,1
512,363,1
513,614,1
514,701,1
515,412,1
516,219,1
517,52,1
518,989,1
519,173,1
520,551,1
521,949,1
522,973,1
523,828,1
524,249,1
525,460,1
526,690,1
527,872,1
528,121,1
529,1018,0
530,380,1
531,232,1
532,253,1
533,657,1
534,258,1
535,121,1
536,359,1
537,692,1
538,213,1
539,17,1
540,20,1
541,777,1
542,792,1
543,346,1
544,449,1
545,537,1
546,714,1
547,750,1
548,996,1
549,682,1
550,688,1
551,286,1
552,867,1
553,246,1
554,10,1
555,983,1
556,710,1
557,674,1
558,400,1
559,324,1
560,906,1
561,580,1
562,338,1
563,12,1
564,57,1
565,158,1
566,857,1
567,274,1
568,775,1
569,1016,0
570,225,1
571,969,1
572,205,1
573,912,1
574,267,1
575,687,1
576,963,1
577,173,1
578,310,1
579,393,1
580,803,1
581,553,1
582,133,1
583,686,1
584,471,1
585,264,1
586,1009,0
587,744,1
588,265,1
589,365,1
590,727,1
591,79,1
592,992,1
593,579,1
594,854,1
595,912,1
596,853,1
597,607,1
598,936,1
599,162,1
600,506,1
601,631,1
602,1025,0
603,581,1
604,560,1
605,475,1
606,282,1
607,291,1
608,400,1
609,745,1
610,97,1
611,460,1
612,259,1
613,867,1
614,537,1
615,83,1
616,639,1
617,286,1
618,90,1
619,485,1
620,758,1
621,895,1
622,1020,0
623,436,1
624,581,1
625,954,1
626,252,1
627,771,1
628,669,1
629,430,1
630,208,1
631,837,1
632,601,1
633,298,1
634,1015,0
635,435,1
636,805,1
637,706,1
638,610,1
639,355,1
640,97,1
641,563,1
642,9,1
643,641,1
644,847,1
645,426,1
646,739,1
647,192,1
648,676,1
649,764,1
650,694,1
651,859,1
652,558,1
653,234,1
654,663,1
655,782,1
656,905,1
657,455,1
658,727,1
659,451,1
660,783,1
661,920,1
662,226,1
663,231,1
664,943,1
665,111,1
666,202,1
667,882,1
668,837,1
669,745,1
670,835,1
671,237,1
672,848,1
673,515,1
674,157,1
675,464,1
676,319,1
677,23,1
678,869,1
679,997,1
680,643,1
681,418,1
682,734,1
683,362,1
684,445,1
685,686,1
686,980,1
687,368,1
688,446,1
689,1018,0
690,587,1
691,85,1
692,628,1
693,557,1
694,618,1
695,702,1
696,366,1
697,960,1
698,84,1
699,234,1
700,68,1
701,885,1
702,886,1
703,585,1
704,540,1
705,138,1
706,189,1
707,175,1
708,60,1
709,655,1
710,33,1
711,454,1
712,791,1
713,125,1
714,1017,0
715,917,1
716,940,1
717,435,1
718,678,1
719,901,1
720,671,1
721,131,1
722,919,1
723,828,1
724,27,1
725,1006,0
726,848,1
727,335,1
728,221,1
729,982,1
730,873,1
731,625,1
732,503,1
733,476,1
734,118,1
735,775,1
736,875,1
737,526,1
738,42,1
739,168,1
740,239,1
741,859,1
742,58,1
743,572,1
744,242,1
745,1025,0
746,468,1
747,994,1
748,548,1
749,740,1
750,245,1
751,332,1
752,903,1
753,390,1
754,453,1
755,205,1
756,521,1
757,915,1
758,117,1
759,476,1
760,431,1
761,767,1
762,443,1
763,339,1
764,540,1
765,774,1
766,170,1
767,88,1
768,428,1
769,884,1
770,869,1
771,740,1
772,369,1
773,701,1
774,181,1
775,868,1
776,26,1
777,831,1
778,593,1
779,596,1
780,585,1
781,496,1
782,70,1
783,794,1
784,942,1
785,242,1
786,1023,0
787,549,1
788,951,1
789,220,1
790,288,1
791,915,1
792,279,1
793,114,1
794,987,1
795,381,1
796,558,1
797,67,1
798,925,1
799,958,1
800,252,1
801,337,1
802,256,1
803,37,1
804,807,1
805,696,1
806,281,1
807,888,1
808,127,1
809,19,1
810,872,1
811,282,1
812,500,1
813,619,1
814,516,1
815,387,1
816,1025,0
817,354,1
818,112,1
819,372,1
820,10,1
821,142,1
822,696,1
823,131,1
824,871,1
825,397,1
826,398,1
827,862,1
828,411,1
829,973,1
830,771,1
831,84,1
832,47,1
833,93,1
834,104,1
835,601,1
836,987,1
837,893,1
838,914,1
839,292,1
840,519,1
841,637,1
842,596,1
843,502,1
844,88,1
845,698,1
846,455,1
847,591,1
848,97,1
849,378,1
850,395,1
851,850,1
852,459,1
853,888,1
854,465,1
855,0,1
856,991,1
857,711,1
858,433,1
859,766,1
860,102,1
861,85,1
862,23,1
863,544,1
864,401,1
865,1008,0
866,229,1
867,835,1
868,207,1
869,177,1
870,554,1
871,65,1
872,654,1
873,332,1
874,305,1
875,720,1
876,493,1
877,698,1
878,146,1
879,838,1
880,5,1
881,998,1
882,274,1
883,591,1
884,980,1
885,670,1
886,900,1
887,767,1
888,1025,0
889,605,1
890,703,1
891,278,1
892,632,1
893,981,1
894,878,1
895,554,1
896,1017,0
897,427,1
898,515,1
899,320,1
900,839,1
901,396,1
902,917,1
903,680,1
904,503,1
905,108,1
906,863,1
907,579,1
908,132,1
909,541,1
910,918,1
911,73,1
912,934,1
913,916,1
914,580,1
915,913,1
916,57,1
917,457,1
918,180,1
919,906,1
920,974,1
921,726,1
922,28,1
923,483,1
924,207,1
925,174,1
926,307,1
927,568,1
928,558,1
929,204,1
930,713,1
931,861,1
932,743,1
933,785,1
934,985,1
935,864,1
936,903,1
937,27,1
938,863,1
939,888,1
940,289,1
941,403,1
942,494,1
943,64,1
944,515,1
945,321,1
946,1003,0
947,734,1
948,260,1
949,381,1
950,197,1
951,948,1
952,387,1
953,113,1
954,872,1
955,571,1
956,923,1
957,516,1
958,786,1
959,865,1
960,130,1
961,498,1
962,330,1
963,854,1
964,981,1
965,670,1
966,543,1
967,303,1
968,16,1
969,1003,0
970,356,1
971,926,1
972,427,1
973,808,1
974,263,1
975,975,1
976,802,1
977,792,1
978,393,1
979,553,1
980,234,1
981,606,1
982,272,1
983,259,1
984,548,1
985,924,1
986,580,1
987,761,1
988,603,1
989,431,1
990,279,1
991,894,1
992,23,1
993,416,1
994,940,1
995,598,1
996,577,1
997,257,1
998,54,1
999,83,1
1000,580,1
1001,117,1
1002,529,1
1003,702,1
1004,589,1
1005,698,1
1006,784,1
1007,903,1
1008,82,1
1009,947,1
1010,568,1
1011,959,1
1012,933,1
1013,798,1
1014,290,1
1015,367,1
1016,675,1
1017,857,1
1018,783,1
1019,259,1
1020,922,1
1021,587,1
1022,287,1
1023,61,1
1024,798,1
1025,532,1
1026,929,1
1027,540,1
1028,718,1
1029,427,1
1030,328,1
1031,895,1
1032,921,1
1033,162,1
1034,378,1
1035,485,1
1036,303,1
1037,663,1
1038,172,1
1039,448,1
1040,230,1
1041,399,1
1042,914,1
1043,520,1
1044,610,1
1045,149,1
1046,677,1
1047,925,1
1048,916,1
1049,7,1
1050,884,1
1051,916,1
1052,689,1
1053,499,1
1054,84,1
1055,970,1
1056,360,1
1057,316,1
1058,631,1
1059,268,1
1060,800,1
1061,610,1
1062,952,1
1063,79,1
1064,699,1
1065,629,1
1066,944,1
1067,578,1
1068,610,1
1069,456,1
1070,966,1
1071,351,1
1072,853,1
1073,482,1
1074,900,1
1075,504,1
1076,696,1
1077,893,1
1078,757,1
1079,73,1
1080,973,1
1081,439,1
1082,390,1
1083,113,1
1084,70,1
1085,783,1
1086,225,1
1087,185,1
1088,457,1
1089,821,1
1090,832,1
1091,741,1
1092,334,1
1093,624,1
1094,641,1
1095,167,1
1096,21,1
1097,5,1
1098,852,1
1099,936,1
1100,864,1
1101,908,1
1102,377,1
1103,240,1
1104,364,1
1105,83,1
1106,374,1
1107,630,1
1108,484,1
1109,593,1
1110,342,1
1111,710,1
1112,235,1
1113,18,1
1114,377,1
1115,236,1
1116,423,1
1117,712,1
1118,55,1
1119,904,1
1120,113,1
1121,786,1
1122,324,1
1123,678,1
1124,800,1
1125,300,1
1126,1000,1
1127,90,1
1128,945,1
1129,471,1
1130,725,1
1131,882,1
1132,858,1
1133,470,1
1134,843,1
1135,9,1
1136,609,1
1137,486,1
1138,202,1
1139,234,1
1140,396,1
1141,316,1
1142,470,1
1143,114,1
1144,598,1
1145,567,1
1146,1003,0
1147,483,1
1148,597,1
1149,162,1
1150,95,1
1151,371,1
1152,105,1
1153,444,1
1154,521,1
1155,745,1
1156,278,1
1157,923,1
1158,876,1
1159,353,1
1160,79,1
1161,415,1
1162,342,1
1163,394,1
1164,290,1
1165,947,1
1166,380,1
1167,48,1
1168,131,1
1169,1000,1
1170,752,1
1171,420,1
1172,123,1
1173,555,1
1174,99,1
1175,851,1
1176,854,1
1177,581,1
1178,954,1
1179,455,1
1180,456,1
1181,615,1
1182,427,1
1183,693,1
1184,484,1
1185,297,1
1186,741,1
1187,238,1
1188,336,1
1189,874,1
1190,186,1
1191,174,1
1192,305,1
1193,532,1
1194,366,1
1195,187,1
1196,733,1
1197,312,1
1198,562,1
1199,37,1
1200,152,1
1201,1008,0
1202,673,1
1203,152,1
1204,364,1
1205,443,1
1206,154,1
1207,1023,0
1208,506,1
1209,448,1
1210,959,1
1211,271,1
1212,575,1
1213,617,1
1214,674,1
1215,981,1
1216,115,1
1217,408,1
1218,681,1
1219,396,1
1220,147,1
1221,414,1
1222,997,1
1223,39,1
1224,431,1
1225,562,1
1226,244,1
1227,860,1
1228,244,1
1229,712,1
1230,62,1
1231,293,1
1232,484,1
1233,348,1
1234,71,1
1235,879,1
1236,734,1
1237,86,1
1238,184,1
1239,944,1
1240,597,1
1241,2,1
1242,671,1
1243,750,1
1244,442,1
1245,62,1
1246,537,1
1247,966,1
1248,574,1
1249,141,1
1250,433,1
1251,734,1
1252,184,1
1253,989,1
1254,594,1
1255,845,1
1256,571,1
1257,283,1
1258,86,1
1259,26,1
1260,649,1
1261,344,1
1262,572,1
1263,722,1
1264,667,1
1265,152,1
1266,716,1
1267,545,1
1268,694,1
1269,736,1
1270,398,1
1271,692,1
1272,633,1
1273,707,1
1274,907,1
1275,93,1
1276,131,1
1277,289,1
1278,749,1
1279,812,1
1280,90,1
1281,682,1
1282,244,1
1283,215,1
1284,392,1
1285,237,1
1286,361,1
1287,615,1
1288,732,1
1289,765,1
1290,638,1
1291,451,1
1292,192,1
1293,845,1
1294,631,1
1295,285,1
1296,572,1
1297,971,1
1298,827,1
1299,173,1
1300,802,1
1301,238,1
1302,195,1
1303,392,1
1304,83,1
1305,65,1
1306,126,1
1307,154,1
1308,583,1
1309,87,1
1310,102,1
1311,313,1
1312,894,1
1313,481,1
1314,151,1
1315,954,1
1316,485,1
1317,637,1
1318,886,1
1319,508,1
1320,118,1
1321,926,1
1322,711,1
1323,81,1
1324,597,1
1325,113,1
1326,975,1
1327,753,1
1328,827,1
1329,119,1
1330,351,1
1331,360,1
1332,508,1
1333,120,1
1334,531,1
1335,143,1
1336,734,1
1337,220,1
1338,148,1
1339,882,1
1340,114,1
1341,535,1
1342,687,1
1343,151,1
1344,975,1
1345,727,1
1346,418,1
1347,912,1
1348,406,1
1349,204,1
1350,910,1
1351,744,1
1352,549,1
1353,648,1
1354,795,1
1355,407,1
1356,691,1
1357,122,1
1358,59,1
1359,576,1
1360,170,1
1361,113,1
1362,1019,0
1363,811,1
1364,347,1
1365,746,1
1366,437,1
1367,469,1
1368,772,1
1369,693,1
1370,172,1
1371,951,1
1372,291,1
1373,673,1
1374,408,1
1375,139,1
1376,245,1
1377,282,1
1378,798,1
1379,318,1
1380,1020,0
1381,391,1
1382,935,1
1383,261,1
1384,354,1
1385,386,1
1386,474,1
1387,701,1
1388,506,1
1389,46,1
1390,392,1
1391,796,1
1392,810,1
1393,689,1
1394,267,1
1395,27,1
1396,906,1
1397,298,1
1398,818,1
1399,660,1
1400,909,1
1401,189,1
1402,948,1
1403,291,1
1404,1009,0
1405,474,1
1406,943,1
1407,642,1
1408,280,1
1409,113,1
1410,669,1
1411,904,1
1412,318,1
1413,567,1
1414,393,1
1415,529,1
1416,307,1
1417,898,1
1418,545,1
1419,581,1
1420,502,1
1421,214,1
1422,389,1
1423,36,1
1424,9,1
1425,496,1
1426,268,1
1427,141,1
1428,807,1
1429,552,1
1430,774,1
1431,194,1
1432,562,1
1433,476,1
1434,286,1
1435,177,1
1436,535,1
1437,343,1
1438,142,1
1439,231,1
1440,401,1
1441,634,1
1442,317,1
1443,578,1
1444,52,1
1445,198,1
1446,981,1
1447,68,1
1448,396,1
1449,918,1
1450,493,1
1451,160,1
1452,412,1
1453,325,1
1454,826,1
1455,269,1
1456,188,1
1457,667,1
1458,347,1
1459,526,1
1460,73,1
1461,344,1
1462,271,1
1463,292,1
1464,661,1
1465,249,1
1466,623,1
1467,447,1
1468,505,1
1469,136,1
1470,452,1
1471,369,1
1472,112,1
1473,566,1
1474,679,1
1475,143,1
1476,34,1
1477,304,1
1478,315,1
1479,511,1
1480,595,1
1481,156,1
1482,444,1
1483,616,1
1484,708,1
1485,464,1
1486,873,1
1487,559,1
1488,227,1
1489,794,1
1490,353,1
1491,622,1
1492,183,1
1493,53,1
1494,299,1
1495,607,1
1496,705,1
1497,805,1
1498,408,1
1499,728,1
1500,1000,1
1501,380,1
1502,255,1
1503,822,1
1504,489,1
1505,608,1
1506,960,1
1507,520,1
1508,331,1
1509,487,1
1510,338,1
1511,241,1
1512,382,1
1513,230,1
1514,226,1
1515,785,1
1516,107,1
1517,291,1
1518,620,1
1519,808,1
1520,209,1
1521,894,1
1522,155,1
1523,46,1
1524,6,1
1525,788,1
1526,158,1
1527,583,1
1528,269,1
1529,436,1
1530,678,1
1531,940,1
1532,939,1
1533,53,1
1534,588,1
1535,316,1
1536,269,1
1537,941,1
1538,904,1
1539,148,1
1540,778,1
1541,791,1
1542,973,1
1543,199,1
1544,940,1
1545,520,1
1546,376,1
1547,472,1
1548,829,1
1549,491,1
1550,995,1
1551,745,1
1552,920,1
1553,5,1
1554,547,1
1555,141,1
1556,988,1
1557,487,1
1558,93,1
1559,421,1
1560,87,1
1561,901,1
1562,581,1
1563,560,1
1564,929,1
1565,755,1
1566,70,1
1567,186,1
1568,40,1
1569,122,1
1570,435,1
1571,682,1
1572,264,1
1573,689,1
1574,984,1
1575,207,1
1576,808,1
1577,752,1
1578,910,1
1579,439,1
1580,840,1
1581,926,1
1582,219,1
1583,748,1
1584,345,1
1585,709,1
1586,785,1
1587,478,1
1588,887,1
1589,162,1
1590,713,1
1591,135,1
1592,449,1
1593,5,1
1594,85,1
1595,199,1
1596,253,1
1597,300,1
1598,438,1
1599,212,1
1600,589,1
1601,381,1
1602,47,1
1603,787,1
1604,51,1
1605,259,1
1606,585,1
1607,385,1
1608,112,1
1609,536,1
1610,606,1
1611,970,1
1612,765,1
1613,463,1
1614,880,1
1615,67,1
1616,510,1
1617,65,1
1618,115,1
1619,999,1
1620,527,1
1621,204,1
1622,344,1
1623,535,1
1624,590,1
1625,709,1
1626,728,1
1627,959,1
1628,184,1
1629,116,1
1630,552,1
1631,802,1
1632,640,1
1633,508,1
1634,468,1
1635,263,1
1636,987,1
1637,521,1
1638,838,1
1639,124,1
1640,103,1
1641,515,1
1642,319,1
1643,753,1
1644,520,1
1645,908,1
1646,44,1
1647,855,1
1648,631,1
1649,579,1
1650,443,1
1651,274,1
1652,708,1
1653,936,1
1654,777,1
1655,761,1
1656,110,1
1657,266,1
1658,158,1
1659,142,1
1660,988,1
1661,449,1
1662,409,1
1663,306,1
1664,223,1
1665,990,1
1666,199,1
1667,805,1
1668,84,1
1669,994,1
1670,238,1
1671,372,1
1672,221,1
1673,522,1
1674,644,1
1675,460,1
1676,318,1
1677,573,1
1678,108,1
1679,566,1
1680,741,1
1681,791,1
1682,653,1
1683,524,1
1684,654,1
1685,539,1
1686,644,1
1687,283,1
1688,604,1
1689,1005,0
1690,612,1
1691,525,1
1692,662,1
1693,847,1
1694,841,1
1695,594,1
1696,794,1
1697,462,1
1698,333,1
1699,781,1
1700,307,1
1701,962,1
1702,556,1
1703,809,1
1704,474,1
1705,777,1
1706,943,1
1707,189,1
1708,152,1
1709,490,1
1710,434,1
1711,389,1
1712,473,1
1713,386,1
1714,486,1
1715,459,1
1716,428,1
1717,289,1
1718,324,1
1719,490,1
1720,949,1
1721,946,1
1722,978,1
1723,537,1
1724,786,1
1725,728,1
1726,763,1
1727,5,1
1728,203,1
1729,320,1
1730,992,1
1731,307,1
1732,403,1
1733,868,1
1734,937,1
1735,218,1
1736,339,1
1737,581,1
1738,1001,0
1739,755,1
1740,319,1
1741,424,1
1742,109,1
1743,904,1
1744,305,1
1745,137,1
1746,270,1
1747,465,1
1748,723,1
1749,22,1
1750,274,1
1751,761,1
1752,40,1
1753,954,1
1754,566,1
1755,983,1
1756,762,1
1757,521,1
1758,262,1
1759,590,1
1760,709,1
1761,769,1
1762,613,1
1763,607,1
1764,912,1
1765,508,1
1766,739,1
1767,127,1
1768,718,1
1769,677,1
1770,439,1
1771,919,1
1772,812,1
1773,938,1
1774,601,1
1775,57,1
1776,975,1
1777,735,1
1778,910,1
1779,926,1
1780,467,1
1781,170,1
1782,874,1
1783,767,1
1784,236,1
1785,641,1
1786,756,1
1787,579,1
1788,368,1
1789,920,1
1790,510,1
1791,1008,0
1792,759,1
1793,465,1
1794,415,1
1795,452,1
1796,229,1
1797,460,1
1798,219,1
1799,874,1
1800,838,1
1801,588,1
1802,946,1
1803,604,1
1804,782,1
1805,550,1
1806,469,1
1807,484,1
1808,239,1
1809,642,1
1810,365,1
1811,120,1
1812,234,1
1813,297,1
1814,146,1
1815,370,1
1816,760,1
1817,509,1
1818,742,1
1819,97,1
1820,326,1
1821,387,1
1822,741,1
1823,103,1
1824,211,1
1825,277,1
1826,112,1
1827,474,1
1828,375,1
1829,496,1
1830,702,1
1831,38,1
1832,145,1
1833,300,1
1834,245,1
1835,775,1
1836,695,1
1837,37,1
1838,218,1
1839,774,1
1840,559,1
1841,169,1
1842,162,1
1843,955,1
1844,290,1
1845,522,1
1846,426,1
1847,110,1
1848,959,1
1849,231,1
1850,136,1
1851,692,1
1852,1004,0
1853,452,1
1854,462,1
1855,793,1
1856,872,1
1857,874,1
1858,952,1
1859,870,1
1860,191,1
1861,100,1
1862,801,1
1863,433,1
1864,955,1
1865,236,1
1866,316,1
1867,821,1
1868,572,1
1869,304,1
1870,114,1
1871,968,1
1872,81,1
1873,9,1
1874,873,1
1875,54,1
1876,774,1
1877,936,1
1878,156,1
1879,461,1
1880,851,1
1881,504,1
1882,442,1
1883,563,1
1884,586,1
1885,189,1
1886,140,1
1887,731,1
1888,769,1
1889,215,1
1890,463,1
1891,670,1
1892,46,1
1893,754,1
1894,263,1
1895,546,1
1896,706,1
1897,51,1
1898,921,1
1899,110,1
1900,536,1
1901,45,1
1902,544,1
1903,367,1
1904,853,1
1905,489,1
1906,742,1
1907,286,1
1908,676,1
1909,906,1
1910,710,1
1911,251,1
1912,171,1
1913,299,1
1914,418,1
1915,666,1
1916,999,1
1917,245,1
1918,364,1
1919,617,1
1920,258,1
1921,167,1
1922,200,1
1923,654,1
1924,693,1
1925,695,1
1926,345,1
1927,740,1
1928,1001,0
1929,279,1
1930,1003,0
1931,483,1
1932,800,1
1933,582,1
1934,897,1
1935,560,1
1936,339,1
1937,990,1
1938,86,1
1939,265,1
1940,554,1
1941,634,1
1942,164,1
1943,383,1
1944,210,1
1945,581,1
1946,1013,0
1947,8,1
1948,907,1
1949,851,1
1950,896,1
1951,877,1
1952,174,1
1953,559,1
1954,326,1
1955,558,1
1956,598,1
1957,27,1
1958,137,1
1959,896,1
1960,670,1
1961,425,1
1962,581,1
1963,317,1
1964,794,1
1965,840,1
1966,681,1
1967,605,1
1968,170,1
1969,268,1
1970,124,1
1971,916,1
1972,572,1
1973,409,1
1974,825,1
1975,441,1
1976,912,1
1977,400,1
1978,378,1
1979,629,1
1980,112,1
1981,781,1
1982,1001,0
1983,235,1
1984,92,1
1985,36,1
1986,653,1
1987,624,1
1988,232,1
1989,159,1
1990,690,1
1991,110,1
1992,322,1
1993,260,1
1994,368,1
1995,992,1
1996,504,1
1997,793,1
1998,164,1
1999,275,1
2000,124,1
2001,761,1
2002,197,1
2003,715,1
2004,963,1
2005,471,1
2006,322,1
2007,603,1
2008,739,1
2009,116,1
2010,802,1
2011,727,1
2012,537,1
2013,388,1
2014,146,1
2015,377,1
2016,983,1
2017,636,1
2018,849,1
2019,813,1
2020,268,1
2021,62,1
2022,159,1
2023,790,1
2024,988,1
2025,278,1
2026,322,1
2027,1019,0
2028,179,1
2029,452,1
2030,99,1
2031,816,1
2032,377,1
2033,787,1
2034,932,1
2035,127,1
2036,15,1
2037,929,1
2038,750,1
2039,28,1
2040,946,1
2041,272,1
2042,432,1
2043,697,1
2044,148,1
2045,766,1
2046,945,1
2047,693,1
2048,760,1
2049,1017,0
2050,636,1
2051,44,1
2052,587,1
2053,465,1
2054,676,1
2055,578,1
2056,535,1
2057,369,1
2058,292,1
2059,650,1
2060,760,1
2061,535,1
2062,530,1
2063,163,1
2064,931,1
2065,779,1
2066,451,1
2067,676,1
2068,454,1
2069,945,1
2070,326,1
2071,764,1
2072,449,1
2073,787,1
2074,26,1
2075,715,1
2076,385,1
2077,651,1
2078,348,1
2079,586,1
2080,546,1
2081,766,1
2082,523,1
2083,990,1
2084,970,1
2085,858,1
2086,943,1
2087,48,1
2088,382,1
2089,540,1
2090,817,1
2091,310,1
2092,166,1
2093,400,1
2094,97,1
2095,563,1
2096,376,1
2097,720,1
2098,234,1
2099,316,1
2100,14,1
2101,790,1
2102,934,1
2103,983,1
2104,274,1
2105,1016,0
2106,124,1
2107,882,1
2108,374,1
2109,307,1
2110,197,1
2111,838,1
2112,630,1
2113,396,1
2114,543,1
2115,273,1
2116,88,1
2117,688,1
2118,419,1
2119,629,1
2120,727,1
2121,481,1
2122,570,1
2123,905,1
2124,644,1
2125,86,1
2126,574,1
2127,103,1
2128,169,1
2129,119,1
2130,900,1
2131,765,1
2132,204,1
